url,title,author,date,body
http://www.politico.com/story/2017/09/25/megyn-kelly-tv-nbc-243120,Megyn Kelly gets thumbs down from critics,[''],2017-09-25 17:49:18,"Megyn Kelly’s new NBC hour following the “Today” show, in which the former Fox News star shuns political interviews for a softer, more lifestyle-driven focus, premiered on Monday to jeers from many critics.

The Washington Post’s Hank Stuever was particularly cutting: “The debut was like watching a network try to assemble its own Bride of Frankenstein, using parts of Ellen DeGeneres, Kelly Ripa and whatever else it can find.”

CNN’s Brian Lowry allowed that, “It's absurdly early, of course, to draw any conclusions about the efficacy of the Kelly experiment.” Still, he continued, “After tepid marks for her prime time newsmagazine and now her addition to ‘Today,’ it's worth considering that NBC News brass leapt at the opportunity to snag a high-profile news star without having fully thought through how best to deploy her.”

Jezebel also mocked the show, saying Kelly looked like “a HomeGoods catalog brought to life” and Newsweek was critical, as well.

LA Times TV critic Robert Lloyd was more generous, noting, “It is impossible to tell how anyone will do in this job from a first episode. (Guarded, even disappointed, reactions greeted the bows of Jimmy Fallon, Stephen Colbert and Trevor Noah.)”

He added: “Hair needs to be let down, but Kelly’s first hour gave no indication that this is a job she can’t learn. It always takes time, and time alone will tell.”

NBC declined any comment on the initial reaction to the show.

Kelly began the hour by declaring herself “kind of done with politics for now.” The former Fox News anchor, who moderated multiple Republican presidential debates during the last presidential election, said she will seek instead to provoke “a smile, sometimes a tear, and maybe some hope to start your day.”

“We will be dissecting the latest tweet from President Trump,” Kelly said on the show, before making it clear that she was joking: “Oh no, we will not be doing that.”

In a recent interview with The Los Angeles Times, Kelly indicated that she knew getting the show right would take time.

“I have a nice long runway,” she said. “No one is expecting me to fly the plane perfectly and at 30,000 feet as soon as they turn the engine on. That takes some of the pressure off and allows me and my team to focus on content.”"
https://nyti.ms/2uRbbiq,Opinion | This Is How I Want to Be Dead,['Richard Conniff'],2017-07-07T07:21:19.000Z,"I doubt that I put it in so many words at the time, but the thought has lately come back to me: This is how I want to be dead. That is, in the woods, with wild things all around. No hurry. Happy to wait at the back of the line. But beyond the familiar “green burial” business of escaping the toxic culture of the conventional death industry, what I particularly like is the idea of using the cost of burials to buy and preserve undeveloped land — a relatively new wrinkle in the world of dead things. It just seems so much more appealing than the alternatives."
http://nyti.ms/2yq2UX6,An Open Letter From Dylan Farrow,['Dylan Farrow'],1391285072,"What’s your favorite Woody Allen movie? Before you answer, you should know: when I was seven years old, Woody Allen took me by the hand and led me into a dim, closet-like attic on the second floor of our house. He told me to lay on my stomach and play with my brother’s electric train set. Then he sexually assaulted me. He talked to me while he did it, whispering that I was a good girl, that this was our secret, promising that we’d go to Paris and I’d be a star in his movies. I remember staring at that toy train, focusing on it as it traveled in its circle around the attic. To this day, I find it difficult to look at toy trains.

For as long as I could remember, my father had been doing things to me that I didn’t like. I didn’t like how often he would take me away from my mom, siblings and friends to be alone with him. I didn’t like it when he would stick his thumb in my mouth. I didn’t like it when I had to get in bed with him under the sheets when he was in his underwear. I didn’t like it when he would place his head in my naked lap and breathe in and breathe out. I would hide under beds or lock myself in the bathroom to avoid these encounters, but he always found me. These things happened so often, so routinely, so skillfully hidden from a mother that would have protected me had she known, that I thought it was normal. I thought this was how fathers doted on their daughters. But what he did to me in the attic felt different. I couldn’t keep the secret anymore.

 

 When I asked my mother if her dad did to her what Woody Allen did to me, I honestly did not know the answer. I also didn’t know the firestorm it would trigger. I didn’t know that my father would use his sexual relationship with my sister to cover up the abuse he inflicted on me. I didn’t know that he would accuse my mother of planting the abuse in my head and call her a liar for defending me. I didn’t know that I would be made to recount my story over and over again, to doctor after doctor, pushed to see if I’d admit I was lying as part of a legal battle I couldn’t possibly understand. At one point, my mother sat me down and told me that I wouldn’t be in trouble if I was lying – that I could take it all back. I couldn’t. It was all true. But sexual abuse claims against the powerful stall more easily. There were experts willing to attack my credibility. There were doctors willing to gaslight an abused child.

After a custody hearing denied my father visitation rights, my mother declined to pursue criminal charges, despite findings of probable cause by the State of Connecticut – due to, in the words of the prosecutor, the fragility of the “child victim.” Woody Allen was never convicted of any crime. That he got away with what he did to me haunted me as I grew up. I was stricken with guilt that I had allowed him to be near other little girls. I was terrified of being touched by men. I developed an eating disorder. I began cutting myself. That torment was made worse by Hollywood. All but a precious few (my heroes) turned a blind eye. Most found it easier to accept the ambiguity, to say, “who can say what happened,” to pretend that nothing was wrong. Actors praised him at awards shows. Networks put him on TV. Critics put him in magazines. Each time I saw my abuser’s face – on a poster, on a t-shirt, on television – I could only hide my panic until I found a place to be alone and fall apart.

Last week, Woody Allen was nominated for his latest Oscar. But this time, I refuse to fall apart. For so long, Woody Allen’s acceptance silenced me. It felt like a personal rebuke, like the awards and accolades were a way to tell me to shut up and go away. But the survivors of sexual abuse who have reached out to me – to support me and to share their fears of coming forward, of being called a liar, of being told their memories aren’t their memories – have given me a reason to not be silent, if only so others know that they don’t have to be silent either.

Today, I consider myself lucky. I am happily married. I have the support of my amazing brothers and sisters. I have a mother who found within herself a well of fortitude that saved us from the chaos a predator brought into our home.

But others are still scared, vulnerable, and struggling for the courage to tell the truth. The message that Hollywood sends matters for them.

What if it had been your child, Cate Blanchett? Louis CK? Alec Baldwin? What if it had been you, Emma Stone? Or you, Scarlett Johansson? You knew me when I was a little girl, Diane Keaton. Have you forgotten me?

Woody Allen is a living testament to the way our society fails the survivors of sexual assault and abuse.

So imagine your seven-year-old daughter being led into an attic by Woody Allen. Imagine she spends a lifetime stricken with nausea at the mention of his name. Imagine a world that celebrates her tormenter.

Are you imagining that? Now, what’s your favorite Woody Allen movie?"
http://fb.me/EmrxfOfp,Opinion | Sarah Polley: The Men You Meet Making Movies,['Sarah Polley'],2017-10-14T18:30:13.000Z,"Several years ago, I approached a couple of successful female actors in Hollywood about an idea I had for a comedy project: We would write, direct and star in a short film about the craziest, worst experience we’d ever had on a set. We told our stories to one another, thinking they would be hysterically funny. We were full of zeal for this project. But the stories, when we told them, left us in tears and bewildered at how casually we had taken these horror stories and tried to make them into comedy. They were stories of assault. When they were spoken out loud, it was impossible to reframe them any other way. This is how we’d normalized the trauma, tried to integrate it, by making comedy out of it. We abandoned the film, but not the project of unearthing the weight of these stories, which we’d previously hidden from ourselves."
https://www.usatoday.com/story/travel/flights/todayinthesky/2017/08/21/another-airline-says-goodbye-boeing-747-passenger-jet/588171001/,Another airline says goodbye to the Boeing 747 passenger jet,[],,"TAIPEI, Taiwan -- Another airline has said its final goodbye to the Boeing 747 passenger jet. That come Monday as Taiwan-based EVA Air retired its last passenger version of the jumbo jet in Taipei.

Throngs of aviation enthusiasts gathered in Hong Kong to join the airplane for its final flight to EVA's Taipei headquarters. Pressed against the glass, they snapped photos and traded stories with one another while waiting to board.

“This is part of the reason I joined the aviation-industry,” said passenger Benjamin Hui of Hong Kong before boarding the jet. Hui worked as a loadmaster on the jet, and EVA 747s were some of the first airplanes he serviced.

ARCHIVES: Boeing's 1,500th 747: 'Not your mother's jumbo jet' | PHOTO TOUR: Behind the scenes at the 747 factory

On the flight deck, Capt. Dave Grose and first officer Ali Hsu were readying the airplane for its final departure but found it tough to get any work done, thanks to the never-ending queue of passengers hoping to pay them a visit. Fliers packed the airplane's cozy upper deck and clogged the stairwell in the moments before pushback and taxi. Visitors snapped photos, posed for selfies, and asked the two pilots to sign all manner of memorabilia.

TODAY IN THE SKY: Trip report and photo tour: Inside EVA's Hello Kitty plane (747 story continues below)

That chaotic vibe continued once airborne. Within moments of the seat-belt sign turning off, passengers flooded the aisles, galleys and even the lavatories. It was all part of an effort to take in as much of EVA's 747 as they could. Flight attendants hurried about the jet as they worked to complete a meal service for all 370 passengers on the short, 1-hour, 17-minute flight.



After landing, enthusiasts rifled through seat-back pockets for unclaimed safety cards, taking them as unofficial momentos of the experience. A line once again formed for the two pilots, though this time down on the main deck.



For a jet that has served many airlines since the 1970s -- especially in Asia -- EVA's nearly 25-year run is comparatively short. But the addition of the plane to the EVA fleet in 1992 enabled the then-fledgling airline to spread its wings on trans-Pacific routes that had previously been beyond its reach.

EVA added Los Angeles first, in late 1992, before expanding to New York and Seattle the following year. EVA's 747 went on to serve 28 cities in its tenure with the company, airline officials said.

TODAY IN THE SKY: Behind the scenes at a flight attendant training center (747 story continues below)

EVA also used the plane’s unique size to roll out one of the first premium economy cabins in the industry, making it one of the first with four classes of service (first, business, premium economy and economy).

When the airline cut first class from its jets, EVA installed economy seats on the airplane's considerably more-private-feeling upper deck, a perk almost exclusively limited to business class passengers on most airlines.



As for Monday's retirement, it comes roughly two years after the airline retired its fleet of 747-400 “combi” jets, a variant of the plane that could hold both passengers and freight on the main deck. The airline will continue to use its fleet of 747 cargo jets until 2019.

MORE: Delta CEO: Boeing 747s will be retired by 2017 | United: Final Boeing 747 flight will come by end of 2017 | United's special domestic Boeing 747 flight was a party at 38,000 feet

EVA's passenger 747 is exiting the airline's fleet at a time when many of the other carriers that have flown the ""Queen of Skies"" have already made similar moves. In the U.S., the last two 747 operates -- Delta and United -- each plan to retire the jet by the end of 2017.

EVA is planning to hold a big retirement ceremony for the passenger 747s on Thursday in Taipei. Afterward, the aircraft will join its already departed brethren at a scrapyard in the United States.



“It's emotional; now they're gone,” said passenger Hui. “Maybe I need to retire also!”

YOUR TAKE: Boeing 747 photos from readers

IN PICTURES: Even more cool aviation photos"
https://nyti.ms/2kQzI71,"Woody Allen Warns of ‘Witch Hunt’ Over Weinstein, Then Tries to Clarify",['Andrew R. Chow'],2017-10-15T17:24:04.000Z,"Mr. Allen’s initial comments to the BBC were published on the heels of Mr. Weinstein’s expulsion from the Motion Picture Academy on Saturday. The director and producer worked together on several films in the 1990s, and Mr. Allen denied knowledge about any misconduct: “No one ever came to me or told me horror stories with any real seriousness,” he said. “And they wouldn’t, because you are not interested in it. You are interested in making your movie.”"
http://dlvr.it/Pvpsvz,"Actress Alyssa Milano calls on women to share sex assault, harassment encounters with #metoo hashtag",['Nicole Hensley'],2017-10-16T02:33:54Z,"""When we hear cases of sexual abuse, harassment and assault play out in a public way, it gives us all extreme heartache but also, strength and fortitude,"" Milano said. ""Strength to share our stories and feel supported by women and men who can say 'me too'. And if through that gift of fundamental support we can highlight the rampant nature of sexism, sexual harassment and sexual abuse then maybe, just maybe, we can change the culture that has nurtured this behavior and...change it."
https://www.vox.com/identities/2017/10/15/16438750/weinstein-sexual-harassment-facts,Study finds 75 percent of workplace harassment victims experienced retaliation when they spoke up,['Tara Golshan'],2017-10-15T09:00:02-04:00,"Shame, fear, and cultural norms all allow sexual harassment to go underreported.

There is so much we don’t know, but there is research that tells us some specifics about the state of the problem and the factors that make it better or worse in different workplaces.

Harvey Weinstein’s long alleged history of sexually preying on actresses, journalists, and musicians — and then scaring them into silence — has spurred a deeply charged national conversation about sexual harassment in the workplace. As more women speak up about this issue, demanding something be done, there is a lack of clarity of what can be.

The US Equal Employment Opportunity Commission, a government agency responsible for processing the sexual harassment complaints that do get reported, says nearly one-third of the 90,000 complaints received in 2015 included a harassment allegation — but the agency notes that that number is far too low to reflect reality. They also estimate that 75 percent of all workplace harassment incidents go unreported altogether.

In 2016, the EEOC released a comprehensive study of workplace harassment in the United States, which concluded that “anywhere from 25% to 85% of women report having experienced sexual harassment in the workplace.” It’s a strikingly wide gap, but one that is very substantial even in its most conservative estimate — statistically predicting one in four people are affected by workplace sexual harassment.

In this void of concrete empirical data, we pieced together reports, surveys, and studies to outline the state of workplace sexual harassment in the United States — and what can be done to address it.

Sexual harassment is not an industry-specific problem, but some environments are worse, according to Emily Martin, general counsel and vice president for workplace justice at the National Women’s Law Center:
• In male-dominated industries like construction, where women are seen as interlopers, women experience high levels of harassment.
• Service-based industries, in which employers rely on tips and customer approval, can also breed an environment of harassment. Reports have also indicated customer behavior can impact how supervisors treat their employees.
• Women in low-wage jobs, like hotel cleaners or farm workers, experience high levels of harassment because they do not have bargaining power to push back.

“Part of what sexual harassment is is an expression of power and expression of hostility,” Martin said. “When there aren’t women there to do the job, some men think women can’t do the job. When there are fewer women in the workplace, they are more isolated in general.”

Unionized workforces often see women being paid more equally and earning higher wages, which could help foster a more open culture around harassment reporting — unionized workforces in general aim to offer workers protections that could make victims less fearful of coming forward. But that doesn’t make them void of this kind of issue.

While workplace sexual harassment is often discussed in terms of women, men also experience sexual harassment in the workplace. According to a Washington Post survey, 10 percent of men have experienced sexual harassment at work. According to the EEOC, reports of men experiencing workplace sexual assault have nearly doubled between 1990 and 2009, from 8 percent to 16 percent of all claims.

This could be a sign of more incidents among men, but also is largely indicative of a changing culture around reporting, in which more people feel comfortable coming forward.

2) 75 percent of harassment victims experienced retaliation when they spoke up

As the Weinstein case exemplifies, women often don’t come forward with their experiences out of fear of retaliation. These fears are very valid and well-founded.

“One 2003 study found that 75% of employees who spoke out against workplace mistreatment faced some form of retaliation,” the EEOC report found.

In Weinstein’s case, the Hollywood executive would threaten up-and-coming actresses’ careers if they did not engage with him, or place negative stories about them in the media to mire their names in scandal. These tactics aim to isolate and silence victims.

When people do come forward, Vox’s Anna North explained, it’s usually when others around them do — strength in numbers. Once some of Weinstein’s accusers came out, more followed.

Formal reporting is the “least common response” among men and woman who have experienced harassment in the workplace — “approximately 30% of individuals who experienced harassment talked with a supervisor, manager, or union representative,” the EEOC study said. It continued:

A lot of this underreporting comes down to a fear of retaliation from the employers or colleagues. Victims often fear they won’t be believed, or will receive blame or be subject to professional retaliation — like being fired from their jobs.

3) When acts of “harassment” are specifically defined, more women report incidents

But there are also other factors that lead to underreporting.

Digging deeper into the numbers of people affected by workplace sexual harassment, the EEOC found that reports of incidents grew when the specific acts that count as harassment were more specifically defined in surveys.

In other words, when people were just asked outright if they had experienced sexual harassment at work, without the term being defined, one in four reported having experienced some form of harassment in the workplace.

But when specific acts of harassment were mentioned, like sexual coercion or crude jokes, 60 percent of women reported having experienced some form of sexual or gender harassment.

This indicates a lack of societal clarity around what constitutes harassment in the workplace — and what is brushed off as just uncomfortable encounters. The EEOC recommended sexual harassment trainings as an effective way to clarify those gray areas.

4) Those once-a-year sexual harassment seminars likely do nothing

Company sexual harassment training is easily mocked — and often brushed off in popular culture.

Even the EEOC admits its ineffectiveness:

“Much of the training done over the last 30 years has not worked as a prevention tool — it’s been too focused on simply avoiding legal liability,” its report says.

But there are innovations to anti-harassment programs that have seen some results, Martin says — namely in bystander training and tailoring programs to specific workplaces.

There is also an emphasis on middle managers, who are seen as the first line of defense against inappropriate behavior. One witness told the EEOC’s researchers:

None of this works, however, if there isn’t a clear message from the top that the company is invested in its employees and their well-being.

From the Weinstein events, as we saw with Fox News’s Roger Ailes and Bill O’Reilly, there is often institutional pressure to push allegations under the rug — the idea being that companies with a public face don’t want sexual harassment claims to go public because the alleged harasser is often a company star.

It’s why companies often process claims through mandatory confidential arbitration instead of an open court, and why so many cases allow for nondisclosure agreements.

These tactics can be effective in hiding the problem on two fronts: They keep victims feeling isolated, and at times like the only people affected, and they insulate the perpetrator. But the incentives might be backward.

“A superstar employee that is creating that toxic work environment is probably costing that company more than he or she is bringing in,” Martin says.

According to the EEOC, in 1994 the Merit Systems Protection Board, a federal agency that oversee the abuses targeting federal employees, conservatively estimated that “as a result of sexual harassment, job turnover ($24.7 million), sick leave ($14.9 million), and decreased individual ($93.7 million) and workgroup ($193.8) productivity had cost the government a total of $327.1 million.”

It all goes to say that there are a lot of systems in place that prevent people from speaking up.

“Even if you are rich famous and powerful, you can feel isolated in these situations,” Martin said. “But if you are not rich and famous and powerful, you still have to get your paycheck because it’s between you and homelessness. There are good reasons why it’s hard for women to bring formal complaints in these situations.”"
http://www.chron.com/entertainment/columnists/dansby/article/Prince-One-year-later-a-posthumous-primer-11089063.php?cmpid=twitter-desktop,"Prince: One year later, I still miss him",['Andrew Dansby'],2017-04-21T12:46:59+0000,"Prince: One year later, I still miss him

One year after Prince's death, I don't have any long-winded commentary about what made him special. Just an assemblage of thoughts, stories and video clips.

Here he is playing ""Gett Off"" at the 1991 MTV Video Music Awards. The first 50 seconds are full of good information should you ever find yourself pinned to a stage by multiple dancers: 1. Wail. 2. Wriggle away. 3. Bust into a split. 4. Pop out of the split. 5. Play sick guitar lick.

A friend on Facebook commented, ""I was just thinking that Prince may have been the only male singer that could pull buttless pants off with such style.""

That is true. Maybe Freddie Mercury?

Rolling Stone did a great Q&A with Morris Day that touched on his long working relationship with Prince. Though the best bit had nothing to do with Prince.

Q: Where did the ""Somebody get me a mirror!"" bit in your stage show come from?

A: Well, that was all just a part of being cool.

Obsessives may enjoy this book. Jim Walsh covered Prince rather extensively in the '90s and assembled all those pieces on an interesting era. '90s Prince wasn't prime Prince, certainly not compared to his '79-'89 run. But he was still banging out amazing music. When he slipped into autopilot, Walsh called him on it.

This week brought inevitable squabbling about the music. An EP called ""Deliverance"" was queued up for release. The only problem is his estate wasn't involved. Thanks to a court ruling, the EP is now a single. ""Deliverance"" is hardly a lost, great Prince album, but the six songs are well-recorded and find him plinking around outside his funky comfort zone. Hopefully they'll have a chance to circulate. On the legitimate side, here's a track list for the deluxe ""Purple Rain"" reissue due in June. Bootleg diggers may just find better quality versions of stuff they already have.

Speaking of ""Purple Rain,"" this clip is pretty great.

And then I'll close with a memory about walking with my wife to our car at 4 a.m. in March 2004 in New York. One tire had been slashed, a knife had been run along the side of the car and then another tire slashed. So changing to the spare wasn't an option. Temperatures were around 15 degrees, the heater in the car was busted. And Ivan, our tow-truck driver, had another job to complete before getting to us. So we sat in the car, uncomfortable but unbowed.

We'd just taken in one of Prince's after-party shows, which often had a looser, more spontaneous feel than his regular tour gigs. I remember it being joyous, maybe due in part to his induction earlier that night into the Rock & Roll Hall of Fame. That induction ceremony included perhaps the best musical moment I've witnessed in person. This one.

Having grown up hearing the original Beatles/George Harrison song, I love the way Prince projected this guitar solo in an utterly Prince-like manner while also doubling back to the original with its Eric Clapton-played solos. The seams stretch nearly to the breaking point with information in the two-and-a-half-minute solo. It's like something out out ""Doctor Who,"" an unfathomable mix of reverence for history and maniacal self-regard.

Which kind of sums up Prince's genius. I miss the little guy."
https://www.buzzfeed.com/jessicagarrison/subpoena-orders-trump-to-turn-over-documents-from-assault?utm_term=.ibpK2MbvJ,Subpoena Orders Trump To Turn Over Documents From Assault Allegations,[],2017-10-15T15:50:10Z,"A high-stakes legal showdown is brewing for President Donald Trump, as a woman who said he groped her has subpoenaed all documents from his campaign pertaining to “any woman alleging that Donald J. Trump touched her inappropriately.”

The subpoena — whose contents have not been previously reported — was issued in March but entered into the court file last month. The White House did not respond to a request for comment, nor did Trump’s attorney.

Summer Zervos, a former contestant on the Trump’s reality TV show The Apprentice, accused Trump of kissing and grabbing her when she went to his bungalow at the Beverly Hills Hotel in 2007 to discuss a possible job at the Trump Organization. After Zervos made the accusation last October, just weeks before the election, Trump denied her accusation and called it a lie.

She responded by suing him for defamation. As part of that suit, her lawyers served a subpoena on his campaign, asking that it preserve all documents it had about her."
